date,tmax,tmin,tmean,precip,windspeed,rh_max
2024-07-19,28.3,17.9,23.4,0.0,15.7,75
2024-07-20,28.2,17.8,23.9,0.9,17.7,90
2024-07-21,31.1,19.6,25.7,0.0,21.7,92
2024-07-22,28.0,21.1,24.5,4.4,19.9,94
2024-07-23,28.9,21.1,24.3,2.5,8.6,97
2024-07-24,29.2,21.1,24.2,10.0,14.5,98
2024-07-25,30.1,20.4,24.7,0.0,16.4,100
2024-07-26,28.9,18.2,23.6,0.0,19.2,66
2024-07-27,29.8,17.6,24.1,0.0,12.3,81
2024-07-28,31.1,18.3,24.3,0.0,18.7,86
2024-07-29,29.0,21.6,24.7,4.1,16.8,94
2024-07-30,31.2,21.5,26.1,0.0,27.5,97
2024-07-31,31.8,23.1,25.7,13.5,16.9,94
2024-08-01,34.6,20.5,27.6,0.0,15.3,97
2024-08-02,33.2,23.4,27.0,4.0,25.1,95
2024-08-03,33.2,23.6,26.7,11.4,15.5,96
2024-08-04,28.3,23.2,24.6,4.8,15.4,97
2024-08-05,31.9,21.1,26.7,0.0,19.4,92
2024-08-06,32.0,21.8,25.6,37.1,16.6,97
2024-08-07,22.2,18.7,20.7,21.9,20.0,97
2024-08-08,23.0,18.6,20.8,10.0,22.0,96
2024-08-09,28.2,22.0,24.8,24.1,43.4,97
2024-08-10,29.1,21.7,25.1,1.1,17.7,96
2024-08-11,27.8,18.6,22.9,0.0,19.9,82
2024-08-12,26.1,16.6,21.8,0.4,18.9,94
2024-08-13,27.2,16.6,21.6,0.0,13.2,87
2024-08-14,28.2,18.0,22.9,0.0,14.0,88
2024-08-15,30.0,17.5,23.9,0.0,10.0,94
2024-08-16,30.0,18.8,24.1,0.0,17.1,96
2024-08-17,26.4,20.9,23.3,8.9,23.0,98
2024-08-18,25.5,20.4,22.6,27.4,24.0,98
2024-08-19,28.2,19.0,22.8,10.2,19.7,98
2024-08-20,22.4,15.9,18.9,0.0,22.6,80
2024-08-21,22.6,13.2,17.9,0.0,20.3,79
2024-08-22,24.4,13.2,19.1,0.0,17.1,84
2024-08-23,27.0,13.4,20.6,0.0,13.3,95
2024-08-24,29.0,15.1,22.1,0.0,15.1,94
2024-08-25,29.9,16.8,23.1,0.2,16.1,89
2024-08-26,30.1,18.5,23.0,0.4,23.8,98
2024-08-27,30.2,18.0,23.4,0.0,18.7,99
2024-08-28,33.3,21.5,27.0,0.0,15.4,91
2024-08-29,25.9,19.8,22.7,6.8,17.7,91
2024-08-30,24.2,18.1,20.6,6.7,14.9,89
2024-08-31,25.5,17.3,21.6,0.8,16.4,96
2024-09-01,28.5,20.9,24.0,1.5,18.2,96
2024-09-02,25.8,16.3,21.4,0.0,20.1,75
2024-09-03,22.6,12.4,17.6,0.0,15.6,79
2024-09-04,25.0,12.6,18.6,0.0,12.4,93
2024-09-05,25.2,12.9,18.7,0.0,13.5,92
2024-09-06,26.5,14.4,20.0,0.0,17.0,97
2024-09-07,24.0,14.0,19.3,5.2,24.3,98
2024-09-08,21.6,11.4,16.3,0.0,20.1,92
2024-09-09,24.5,11.3,18.1,0.0,18.9,73
2024-09-10,25.6,14.2,19.5,0.0,13.0,73
2024-09-11,25.4,12.3,18.4,0.0,11.5,95
2024-09-12,26.1,14.4,19.4,0.0,15.0,100
2024-09-13,27.4,13.6,19.8,0.0,12.8,100
2024-09-14,28.8,14.9,21.5,0.0,15.4,100
2024-09-15,27.5,14.9,20.7,0.0,17.0,96
2024-09-16,25.4,13.4,18.9,0.0,12.1,96
2024-09-17,26.9,14.4,19.9,0.0,14.8,98
2024-09-18,23.5,17.9,20.4,0.2,15.2,94
2024-09-19,29.2,16.1,22.4,0.0,15.5,85
2024-09-20,27.2,17.2,21.5,0.0,19.7,90
2024-09-21,26.4,15.2,19.9,0.0,16.0,90
2024-09-22,24.5,13.5,18.4,0.0,16.2,94
2024-09-23,20.4,13.3,17.0,0.3,17.0,85
2024-09-24,19.6,13.4,16.9,0.2,15.9,86
2024-09-25,20.5,15.7,17.6,0.9,18.7,83
2024-09-26,23.2,16.7,20.3,4.4,15.9,99
2024-09-27,22.1,18.6,20.2,0.8,14.0,100
2024-09-28,20.0,16.2,18.1,7.6,21.5,90
2024-09-29,18.1,16.5,17.1,2.5,18.1,92
2024-09-30,22.1,14.4,18.0,0.0,17.7,94
2024-10-01,21.2,14.6,17.3,0.1,16.8,91
2024-10-02,20.5,13.2,16.5,0.2,13.6,95
2024-10-03,22.4,14.7,17.7,0.1,14.3,95
2024-10-04,23.5,12.0,17.5,0.2,16.5,100
2024-10-05,23.6,13.4,18.4,0.3,16.8,97
2024-10-06,22.0,10.4,16.1,0.0,16.5,87
2024-10-07,23.1,14.4,18.3,6.2,18.7,91
2024-10-08,20.4,10.7,15.3,0.0,15.6,81
2024-10-09,19.4,9.3,14.7,0.0,21.9,87
2024-10-10,17.8,7.8,12.0,0.0,20.3,74
2024-10-11,20.7,7.1,13.7,0.0,18.8,86
2024-10-12,22.5,11.5,17.3,0.0,22.4,58
2024-10-13,23.0,9.8,16.4,0.0,15.8,94
2024-10-14,18.9,7.9,12.7,0.1,34.4,100
2024-10-15,14.4,5.5,9.6,0.1,19.7,78
2024-10-16,15.1,5.7,9.8,0.0,21.0,75
2024-10-17,14.8,4.1,9.4,0.0,21.5,81
2024-10-18,19.0,7.1,12.1,0.0,18.6,71
2024-10-19,21.3,7.7,13.3,0.0,11.2,86
2024-10-20,23.8,6.3,14.3,0.0,10.0,84
2024-10-21,27.1,8.4,17.5,0.0,12.2,87
2024-10-22,27.2,12.8,18.7,0.0,12.2,84
2024-10-23,24.9,11.4,17.7,0.0,17.8,83
2024-10-24,20.2,10.5,15.9,0.1,23.9,72
2024-10-25,17.9,6.6,11.9,0.0,15.7,79
2024-10-26,17.7,10.0,13.4,0.0,24.6,65
2024-10-27,14.4,5.1,9.2,0.0,17.1,78
2024-10-28,16.1,3.0,9.3,0.0,14.2,93
2024-10-29,17.4,6.8,12.9,0.9,22.2,95
2024-10-30,25.7,11.3,17.3,0.0,13.9,100
2024-10-31,27.6,12.4,20.1,0.0,23.8,95
2024-11-01,25.9,13.8,20.5,0.5,27.9,74
2024-11-02,15.7,7.2,11.8,0.0,18.8,63
2024-11-03,12.9,3.8,7.4,0.0,14.7,68
2024-11-04,14.2,3.7,9.4,0.0,18.4,90
2024-11-05,22.4,9.4,15.9,0.0,19.5,96
2024-11-06,26.6,16.4,20.8,0.0,22.2,87
2024-11-07,22.5,11.2,17.5,0.0,19.8,94
2024-11-08,20.4,7.2,13.5,0.0,26.7,86
2024-11-09,12.8,4.5,8.4,0.0,24.9,55
2024-11-10,14.4,2.6,9.1,1.3,19.6,89
2024-11-11,20.6,11.4,15.5,2.9,25.1,94
2024-11-12,12.4,4.9,9.5,0.0,26.4,67
2024-11-13,9.2,1.4,5.2,0.0,13.3,58
2024-11-14,7.8,1.5,4.9,0.0,10.5,68
